actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
civil engineer,defense attorney,serve,defend,9.2378,9.385124065,13,1,serves,NA,serves,defends,NA,defends,civil engineer __________ defense attorney
civil engineer,defense attorney,serve,grab,11.1445,13.12748273,14,2,serves,NA,serves,grabs,NA,grabs,civil engineer __________ defense attorney
civil engineer,dental hygienist,turn to,baits,16.5205,NEED TO FIX,15,3,turns,to,turns to,baitss,NA,baits,civil engineer __________ dental hygienist
civil engineer,dental hygienist,turn to,bicker with,20.0416,19.56549137,16,4,turns,to,turns to,bickers,with,bickers with,civil engineer __________ dental hygienist
civil engineer,dentist,turn to,amaze,6.1314,6.691199049,1,4,turns,to,turns to,amazes,NA,amazes,civil engineer __________ dentist
civil engineer,dentist,turn to,misunderstand,14.7659,14.1717791,2,3,turns,to,turns to,misunderstands,NA,misunderstands,civil engineer __________ dentist
civil engineer,firefighter,answer,sentence,6.9826,8.797181744,3,2,answers,NA,answers,sentences,NA,sentences,civil engineer __________ firefighter
civil engineer,firefighter,answer,unnerve,10.3691,11.82469327,4,1,answers,NA,answers,unnerves,NA,unnerves,civil engineer __________ firefighter
civil engineer,foreman,excuse,stare at,6.3017,7.351055225,7,1,excuses,NA,excuses,stares,at,stares at,civil engineer __________ foreman
civil engineer,foreman,excuse,criticize,8.6186,10.0485873,8,2,excuses,NA,excuses,criticizes,NA,criticizes,civil engineer __________ foreman
civil engineer,musician,turn to,overcharge,22.3664,21.79906022,9,3,turns,to,turns to,overcharges,NA,overcharges,civil engineer __________ musician
civil engineer,musician,turn to,cheat,28.021,27.3995228,10,4,turns,to,turns to,cheats,NA,cheats,civil engineer __________ musician
civil engineer,nurse,consult,have a heart to heart talk with,5.0438,5.260037528,11,4,consults,NA,consults,haves,a heart to heart talk with,has a heart to heart talk with,civil engineer __________ nurse
civil engineer,nurse,consult,expel,17.4029,18.77949346,12,3,consults,NA,consults,expels,NA,expels,civil engineer __________ nurse
civil engineer,nutritionist,consult,cheer,9.0522,9.075507138,13,2,consults,NA,consults,cheers,NA,cheers,civil engineer __________ nutritionist
civil engineer,nutritionist,consult,impede,11.9756,12.88593222,14,1,consults,NA,consults,impedes,NA,impedes,civil engineer __________ nutritionist
civil engineer,pediatrician,answer,avoid,13.6838,13.66757977,15,1,answers,NA,answers,avoids,NA,avoids,civil engineer __________ pediatrician
civil engineer,pediatrician,answer,fool,15.3011,16.34962561,16,2,answers,NA,answers,fools,NA,fools,civil engineer __________ pediatrician
civil engineer,surgeon,ask about,baby,10.6817,13.32170261,1,3,asks,about,asks about,babies,NA,babies,civil engineer __________ surgeon
civil engineer,surgeon,ask about,cut the pay of,16.5045,21.27591577,2,4,asks,about,asks about,cuts,the pay of,cuts the pay of,civil engineer __________ surgeon
civil engineer,teacher,turn to,interfere with,12.1829,12.32218562,3,4,turns,to,turns to,interferes,with,interferes with,civil engineer __________ teacher
civil engineer,teacher,turn to,upstage,14.2457,14.22058592,4,3,turns,to,turns to,upstages,NA,upstages,civil engineer __________ teacher
civil engineer,technician,turn to,gossip with,13.3574,12.94959715,5,2,turns,to,turns to,gossips,with,gossips with,civil engineer __________ technician
civil engineer,technician,turn to,seize,18.811,18.32135834,6,1,turns,to,turns to,seizes,NA,seizes,civil engineer __________ technician
cook,bailiff,chat with,soothe,7.7049,7.478459017,9,1,chats,with,chats with,soothes,NA,soothes,cook __________ bailiff
cook,bailiff,chat with,chide,10.2654,8.234963994,10,2,chats,with,chats with,chides,NA,chides,cook __________ bailiff
cook,civil engineer,chat with,flee,8.0973,8.013997666,11,3,chats,with,chats with,flees,NA,flees,cook __________ civil engineer
cook,civil engineer,chat with,glare at,17.309,18.4149062,12,4,chats,with,chats with,glares,at,glares at,cook __________ civil engineer
cook,cook,toast,flee,8.243,8.303812091,13,4,toasts,NA,toasts,flees,NA,flees,cook __________ cook
cook,cook,toast,intimidate,14.9253,16.35032678,14,3,toasts,NA,toasts,intimidates,NA,intimidates,cook __________ cook
cook,crane operator,chat with,scare,5.0513,12.25505326,15,2,chats,with,chats with,scares,NA,scares,cook __________ crane operator
cook,crane operator,chat with,overlook,20.6819,18.88150827,16,1,chats,with,chats with,overlooks,NA,overlooks,cook __________ crane operator
cook,defense attorney,chat with,restrain,11.5017,10.59635441,1,1,chats,with,chats with,restrains,NA,restrains,cook __________ defense attorney
cook,defense attorney,chat with,scowl at,18.4202,15.74150598,2,2,chats,with,chats with,scowls,at,scowls at,cook __________ defense attorney
cook,dental hygienist,chat with,quiet,8.2866,8.782066653,3,3,chats,with,chats with,quiets,NA,quiets,cook __________ dental hygienist
cook,dental hygienist,chat with,confuse,13.0954,13.42769443,4,4,chats,with,chats with,confuses,NA,confuses,cook __________ dental hygienist
cook,dentist,chat with,fluster,6.291,6.515208615,5,4,chats,with,chats with,flusters,NA,flusters,cook __________ dentist
cook,dentist,chat with,borrow money from,14.1569,14.47609296,6,3,chats,with,chats with,borrows,money from,borrows money from,cook __________ dentist
cook,firefighter,joke with,bind,17.4021,17.43159756,7,2,jokes,with,jokes with,binds,NA,binds,cook __________ firefighter
cook,firefighter,joke with,seize,18.6056,19.00180343,8,1,jokes,with,jokes with,seizes,NA,seizes,cook __________ firefighter
cook,foreman,chat with,bill,7.6094,5.656534074,11,1,chats,with,chats with,bills,NA,bills,cook __________ foreman
cook,foreman,chat with,educate,6.4329,7.280467479,12,2,chats,with,chats with,educates,NA,educates,cook __________ foreman
cook,musician,chat with,curtsey to,5.0657,6.153802705,13,3,chats,with,chats with,curtseies,to,curtsies to,cook __________ musician
cook,musician,chat with,abet,6.639,7.283395049,14,4,chats,with,chats with,abets,NA,abets,cook __________ musician
cook,nurse,joke with,misjudge,23.0626,21.26831598,15,4,jokes,with,jokes with,misjudges,NA,misjudges,cook __________ nurse
cook,nurse,joke with,haunt,32.1101,30.40335414,16,3,jokes,with,jokes with,haunts,NA,haunts,cook __________ nurse
cook,nutritionist,toast,disillusion,15.5209,16.57443592,1,2,toasts,NA,toasts,disillusions,NA,disillusions,cook __________ nutritionist
cook,nutritionist,toast,jeer,20.0331,20.50859963,2,1,toasts,NA,toasts,jeers,NA,jeers,cook __________ nutritionist
cook,pediatrician,joke with,bewilder,8.8603,8.153907556,3,1,jokes,with,jokes with,bewilders,NA,bewilders,cook __________ pediatrician
cook,pediatrician,joke with,disobey,15.491,14.93799657,4,2,jokes,with,jokes with,disobeies,NA,disobeys,cook __________ pediatrician
cook,surgeon,joke with,hypnotize,13.4342,14.24970374,5,3,jokes,with,jokes with,hypnotizes,NA,hypnotizes,cook __________ surgeon
cook,surgeon,joke with,forget,24.6678,23.88666649,6,4,jokes,with,jokes with,forgets,NA,forgets,cook __________ surgeon
cook,teacher,joke with,horrify,5.3656,21.60010995,7,4,jokes,with,jokes with,horrifies,NA,horrifies,cook __________ teacher
cook,teacher,joke with,ensnare,17.5362,16.88871604,8,3,jokes,with,jokes with,ensnares,NA,ensnares,cook __________ teacher
